resp,group,rt,visual_setsize,memory_setsize
6,base,0.8087568991891894,12,1
6,base,0.872861292638889,16,1
6,base,0.8308277622068966,4,2
6,base,0.9343334834666664,8,2
6,base,1.282718949,12,2
6,base,1.16887516525,16,2
6,base,1.6579999062222224,4,3
6,base,1.6894349429999997,8,3
6,base,1.6613042614782605,12,3
6,base,1.0120216712173913,16,3
6,base,0.695571584392857,4,4
6,base,0.8704644271071429,8,4
6,base,1.2689334869666669,12,4
6,base,1.4890001774000003,16,4
7,base,0.8838420918421054,4,1
7,base,0.6786571366000002,8,1
7,base,0.6638285636571427,12,1
7,base,0.6626388894444444,16,1
7,base,0.9437142667857142,4,2
7,base,1.1619347697391305,8,2
7,base,1.3698863766363638,12,2
7,base,1.7600908929999997,16,2
7,base,0.940409086,4,3
7,base,1.1118636294772726,8,3
7,base,1.2708478285869567,12,3
7,base,1.6451555623777776,16,3
7,base,0.8971555604444443,4,4
7,base,1.0681521995217396,8,4
7,base,1.3310000260444443,12,4
7,base,1.8657778051999998,16,4
8,base,0.8208888901111111,4,1
8,base,0.7706285612285714,8,1
8,base,0.7530293885,12,1
8,base,1.3301999843428571,16,1
8,base,1.2472222327999998,4,2
8,base,1.4749565124130435,8,2
8,base,1.8982173774565223,12,2
8,base,2.0437826073043484,16,2
8,base,1.1670434838260868,4,3
8,base,1.5688912869130434,8,3
8,base,1.9461086988260872,12,3
8,base,2.21036958702174,16,3
8,base,1.0073478014782609,4,4
8,base,1.3456739030869567,8,4
8,base,1.8230869407173909,12,4
8,base,2.3222826096956517,16,4
9,base,0.8684705145882353,4,1
9,base,1.0577142102285713,8,1
9,base,1.1903142042857147,12,1
9,base,1.1267499196388888,16,1
9,base,1.0507110595555558,4,2
9,base,1.4774129806086957,8,2
9,base,1.755888817044445,12,2
9,base,2.236586892130435,16,2
9,base,1.1205216749565214,4,3
9,base,1.6581135663409092,8,3
9,base,1.7436665906222224,12,3
9,base,2.1803912131304344,16,3
9,base,1.0892390479565222,4,4
9,base,1.3806221803555552,8,4
9,base,1.887652086173913,12,4
9,base,2.512391235478261,16,4
10,base,0.7346665746666666,4,1
10,base,0.7375142300857144,8,1
10,base,0.8560882175588233,12,1
10,base,0.6255554887777779,16,1
10,base,0.9036045961860465,4,2
10,base,1.0401362777272725,8,2
10,base,1.2051427590714288,12,2
10,base,1.1929023613902445,16,2
10,base,0.8606362939090907,4,3
10,base,1.0373863090227275,8,3
10,base,1.2870731063414638,12,3
10,base,1.3831249177499998,16,3
10,base,0.9072438159268293,4,4
10,base,1.0808094682857143,8,4
10,base,1.1875226551590907,12,4
10,base,1.284999948775,16,4
11,base,0.8034999237777778,4,1
11,base,0.8566943540277775,8,1
11,base,0.6338285172571428,12,1
11,base,0.7304705100000001,16,1
11,base,0.7882092165116278,4,2
11,base,1.1693635528409092,8,2
11,base,1.1077271970909093,12,2
11,base,1.5266665724222224,16,2
11,base,0.938333278266667,4,3
11,base,1.4889332611999997,8,3
11,base,1.7147044702045449,12,3
11,base,1.9413695075434783,16,3
11,base,0.7839999095652174,4,4
11,base,1.0862092417209306,8,4
11,base,1.5257608061304346,12,4
11,base,1.3550434216739133,16,4
12,base,0.5707778796666667,4,1
12,base,0.4865589281764707,8,1
12,base,0.712342950285714,12,1
12,base,0.5846111906666667,16,1
12,base,0.8104762746904759,4,2
12,base,1.114431901386364,8,2
12,base,1.3255117216744186,12,2
12,base,1.2274318988181816,16,2
12,base,0.8204000896666666,4,3
12,base,1.1269773569772727,8,3
12,base,1.088227369545454,12,3
12,base,1.3379111872666667,16,3
12,base,0.8009783392608696,4,4
12,base,0.9534783725434784,8,4
